series,seriesLabel,wikipediaPage,image,startTime,follower,score,locations,countries,genres,maleCreatorsCount,femaleCreatorsCount,otherCreatorsCount
http://www.wikidata.org/entity/Q16863042,American Crime,https://en.wikipedia.org/wiki/American_Crime_(TV_series),,2015,33493,,California,United States of America,"crime film, LGBT-related television series",6,10,1
http://www.wikidata.org/entity/Q17014382,Transparent,https://en.wikipedia.org/wiki/Transparent_(TV_series),http://commons.wikimedia.org/wiki/Special:FilePath/Cast%20of%20Transparent.jpg,2014,52773,,Los Angeles,United States of America,"LGBT-related television series, comedy drama",0,2,1
http://www.wikidata.org/entity/Q39071657,Happy!,https://en.wikipedia.org/wiki/Happy!_(TV_series),,2017,13218,,,United States of America,fantasy television series,1,0,1
http://www.wikidata.org/entity/Q2296908,Strike Back,https://en.wikipedia.org/wiki/Strike_Back_(TV_series),,2010,,,,"United Kingdom, United States of America",action television series,14,0,1
http://www.wikidata.org/entity/Q19866736,The Real O’Neals,https://en.wikipedia.org/wiki/The_Real_O%27Neals,,2016,10400,,Chicago,United States of America,"LGBT-related television series, sitcom",2,0,1
http://www.wikidata.org/entity/Q17080059,Sense8,https://en.wikipedia.org/wiki/Sense8,,2015,316450,,"San Francisco, Berlin, Los Angeles, London, Mumbai, Chicago, Mexico City, Nairobi, Seoul",United States of America,"LGBT-related television series, drama television series, science fiction television program",6,1,2
http://www.wikidata.org/entity/Q16155320,Broad City,https://en.wikipedia.org/wiki/Broad_City,,2014,314730,,New York City,United States of America,"LGBT-related television series, American television sitcom",0,1,1
http://www.wikidata.org/entity/Q88102054,Feel Good,https://en.wikipedia.org/wiki/Feel_Good_(TV_series),,2020,,,Manchester,United Kingdom,comedy drama,0,0,1
http://www.wikidata.org/entity/Q64548780,"Dangerous Moms - Töten, kochen, putzen",https://en.wikipedia.org/wiki/Se%C3%B1oras_del_(h)AMPA,,2019,,,,Spain,"humorous fiction, drama fiction, thriller",0,0,1
http://www.wikidata.org/entity/Q107187600,Todo lo otro,https://en.wikipedia.org/wiki/Dafne_and_the_Rest,,2021,,,,Spain,drama film,0,0,1
http://www.wikidata.org/entity/Q56275505,Euphoria,https://en.wikipedia.org/wiki/Euphoria_(American_TV_series),,2019,1447128,70,,United States of America,"LGBT-related television series, teen drama television",2,0,1
http://www.wikidata.org/entity/Q110874594,Hollyoaks: IRL,https://en.wikipedia.org/wiki/Hollyoaks:_IRL,,2021,,,,United Kingdom,"factual television program, reality television",0,0,1
http://www.wikidata.org/entity/Q11572,Avatar – Der Herr der Elemente,https://en.wikipedia.org/wiki/Avatar:_The_Last_Airbender,http://commons.wikimedia.org/wiki/Special:FilePath/Avatar%20The%20Last%20Airbender%20logo.svg,2005,2850000,,,United States of America,"anime-influenced animation, comedy drama, children's television series, drama television series, action television series, adventure television series, fantasy television series, comedy television series",4,0,0
http://www.wikidata.org/entity/Q22998408,Babylon Berlin,https://en.wikipedia.org/wiki/Babylon_Berlin,http://commons.wikimedia.org/wiki/Special:FilePath/Babylon%20Berlin%20Premiere.jpg,2017,2787,,Berlin,Germany,"thriller television series, television series based on a novel, crime fiction, historical drama, period drama film",3,0,0
http://www.wikidata.org/entity/Q23815652,Charité,https://en.wikipedia.org/wiki/Charit%C3%A9_(TV_series),,2017,,,,Germany,"medical drama, drama television series",2,3,0
http://www.wikidata.org/entity/Q115516990,Bodies,https://en.wikipedia.org/wiki/Bodies_(2023_TV_series),,2023,,65,,United Kingdom,"crime fiction, science fiction television program, thriller",2,0,0
http://www.wikidata.org/entity/Q116386275,Those About to Die,https://en.wikipedia.org/wiki/Those_About_to_Die,,2024,,,,"Germany, Italy, United States of America",sword-and-sandal film,3,0,0
http://www.wikidata.org/entity/Q58200015,Beat,https://en.wikipedia.org/wiki/Beat_(TV_series),,2018,,,,Germany,thriller,1,0,0
